host-relay init
host-TS init
SEMA4_mod init
host-shm init
host-create init
key:800  id:16711683  ptr:e5470000
finish init shmem
Start tracing......
tb total cycle cnt = 4410, load = 0, store = 0
tb total cycle cnt = 4420, load = 0, store = 0
tb total cycle cnt = 4430, load = 0, store = 0
tb total cycle cnt = 4440, load = 0, store = 0
tb total cycle cnt = 4450, load = 0, store = 0
tb total cycle cnt = 4460, load = 0, store = 0
tb total cycle cnt = 4470, load = 0, store = 0
tb total cycle cnt = 4480, load = 0, store = 0
tb total cycle cnt = 4490, load = 0, store = 0
tb total cycle cnt = 4500, load = 0, store = 0
tb total cycle cnt = 4510, load = 0, store = 0
tb total cycle cnt = 4520, load = 0, store = 0
tb total cycle cnt = 4530, load = 0, store = 0
tb total cycle cnt = 4540, load = 0, store = 0
tb total cycle cnt = 4550, load = 0, store = 0
tb total cycle cnt = 4560, load = 0, store = 0
tb total cycle cnt = 4570, load = 0, store = 0
tb total cycle cnt = 4580, load = 0, store = 0
tb total cycle cnt = 4590, load = 0, store = 0
tb total cycle cnt = 4600, load = 0, store = 0
tb total cycle cnt = 4610, load = 0, store = 0
tb total cycle cnt = 4620, load = 0, store = 0
tb total cycle cnt = 4630, load = 0, store = 0
tb total cycle cnt = 4640, load = 0, store = 0
tb total cycle cnt = 4650, load = 0, store = 0
tb total cycle cnt = 4660, load = 0, store = 0
tb total cycle cnt = 4670, load = 0, store = 0
tb total cycle cnt = 4680, load = 0, store = 0
tb total cycle cnt = 4690, load = 0, store = 0
tb total cycle cnt = 4700, load = 0, store = 0
tb total cycle cnt = 4710, load = 0, store = 0
tb total cycle cnt = 4720, load = 0, store = 0
tb total cycle cnt = 4730, load = 0, store = 0
tb total cycle cnt = 4740, load = 0, store = 0
tb total cycle cnt = 4750, load = 0, store = 0
tb total cycle cnt = 4760, load = 0, store = 0
tb total cycle cnt = 4770, load = 0, store = 0
tb total cycle cnt = 4780, load = 0, store = 0
tb total cycle cnt = 4790, load = 0, store = 0
tb total cycle cnt = 4800, load = 0, store = 0
tb total cycle cnt = 4810, load = 0, store = 0
tb total cycle cnt = 4820, load = 0, store = 0
tb total cycle cnt = 4830, load = 0, store = 0
tb total cycle cnt = 4840, load = 0, store = 0
tb total cycle cnt = 4850, load = 0, store = 0
tb total cycle cnt = 4860, load = 0, store = 0
tb total cycle cnt = 4870, load = 0, store = 0
tb total cycle cnt = 4880, load = 0, store = 0
tb total cycle cnt = 4890, load = 0, store = 0
tb total cycle cnt = 4900, load = 0, store = 0
tb total cycle cnt = 4910, load = 0, store = 0
tb total cycle cnt = 4920, load = 0, store = 0
tb total cycle cnt = 4930, load = 0, store = 0
tb total cycle cnt = 4940, load = 0, store = 0
tb total cycle cnt = 4950, load = 0, store = 0
tb total cycle cnt = 4960, load = 0, store = 0
tb total cycle cnt = 4970, load = 0, store = 0
tb total cycle cnt = 4980, load = 0, store = 0
tb total cycle cnt = 4990, load = 0, store = 0
tb total cycle cnt = 5000, load = 0, store = 0
tb total cycle cnt = 5010, load = 0, store = 0
tb total cycle cnt = 5020, load = 0, store = 0
tb total cycle cnt = 5030, load = 0, store = 0
tb total cycle cnt = 5040, load = 0, store = 0
tb total cycle cnt = 5050, load = 0, store = 0
tb total cycle cnt = 5060, load = 0, store = 0
tb total cycle cnt = 5070, load = 0, store = 0
tb total cycle cnt = 5080, load = 0, store = 0
tb total cycle cnt = 5090, load = 0, store = 0
tb total cycle cnt = 5100, load = 0, store = 0
tb total cycle cnt = 5110, load = 0, store = 0
tb total cycle cnt = 5120, load = 0, store = 0
tb total cycle cnt = 5130, load = 0, store = 0
tb total cycle cnt = 5140, load = 0, store = 0
tb total cycle cnt = 5150, load = 0, store = 0
tb total cycle cnt = 5160, load = 0, store = 0
tb total cycle cnt = 5170, load = 0, store = 0
